"00018771893271";"â€˜Til Your River Runs Dry";"461887";"10047-0";"";"20130129"
"00018771900122";"BIG HITS (HIGH TIDE AND GREEN GRASS)";"97413";"4810-0";"";"20050803"
"00018771900221";"THEIR SATANIC MAJESTIES REQUEST";"97413";"4810-0";"";"20050803"
"00018771900320";"THROUGH THE PAST DARKLY (Big Hits Vol.2)";"97413";"4810-0";"";"20050803"
"00018771900429";"LET IT BLEED";"97413";"4810-0";"";"20050803"
"00018771900528";"GET YER YA-YA'S OUT!";"97413";"4810-0";"";"20050803"
"00018771900627";"METAMORPHOSIS";"97413";"4810-0";"";"20050803"
"00018771922322";"Cameo Parkway 1957-1967";"233297";"4810-0";"";"20050803"
"00018771922520";"The Best Of Chubby Checker 1959-1963";"97424";"4810-0";"";"20051018"
"00018771922629";"The Best Of The Dovells 1961-1965";"233293";"4810-0";"";"20051018"
"00018771922728";"The Best Of The Orlons";"233295";"4810-0";"";"20051018"
"00018771922827";"Herman's Hermits Retrospective";"259370";"4810-0";"";"20050803"
"00018771923022";"The Best Of Bobby Rydell";"233988";"4810-0";"";"20051018"
"00018771923121";"The Rolling Stones Singles Collection: The London Years";"97413";"4810-0";"";"20050803"
"00018771923220";"The Best Of ? & The Mysterians 1966-1967";"97590";"4810-0";"";"20051018"
"00018771923329";"The Best Of Dee Dee Sharp 1962-1966";"97497";"4810-0";"";"20051018"
"00018771923428";"The Best Of The Tymes 1963-1964";"97589";"4810-0";"";"20051018"
"00018771923725";"25 Original Greatest Hits- Cameo Parkway";"97414";"4810-0";"";"20061017"
"00018771923824";"The Best of Charlie Gracie 1956-1958";"97415";"4810-0";"";"20061017"
"00018771924029";"The Darjeeling Limited";"233297";"4810-0";"";"20070925"
"00018771925422";"Temptation: Music From The Showtime Series Californication";"233297";"4810-0";"";"20071030"
"00018771932529";"The Animals Retrospective";"97597";"4810-0";"";"20050803"
"00018771937524";"ENGLAND'S NEWEST HITMAKERS";"97413";"4810-0";"";"20050803"
"00018771940227";"12 X 5";"97413";"4810-0";"";"20050803"
"00018771942023";"The Rolling Stones, Now!";"97413";"4810-0";"";"20050803"
"00018771942924";"OUT OF OUR HEADS";"97413";"4810-0";"";"20050803"
"00018771943020";"OUT OF OUR HEADS (UK)";"233312";"4810-0";"";"20050803"
"00018771945123";"DECEMBER'S CHILDREN (AND EVERYBODY'S)";"97413";"4810-0";"";"20050803"
"00018771947622";"AFTERMATH";"97413";"4810-0";"";"20050803"
"00018771947721";"AFTERMATH UK";"233312";"4810-0";"";"20050803"
"00018771949329";"got LIVE if you want it!";"97413";"4810-0";"";"20050803"
"00018771949923";"BETWEEN THE BUTTONS";"97413";"4810-0";"";"20050803"
"00018771950028";"BETWEEN THE BUTTONS UK";"233312";"4810-0";"";"20050803"
"00018771950929";"FLOWERS";"97413";"4810-0";"";"20050803"
"00018771953920";"BEGGARS BANQUET";"97413";"4810-0";"";"20050803"
"00018771962625";"More Hot Rocks (Big Hits & Fazed Cookies)";"97413";"4810-0";"";"20050803"
"00018771966623";"SYMPATHY FOR THE DEVIL - REMIX";"97413";"4810-0";"";"20050803"
"00018771966722";"Hot Rocks (1964-1971)";"97413";"4810-0";"";"20050803"
"00018776010031";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776010130";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776010536";"Millions Of Milkshakes";"153556";"9555-0";"";"20091218"
"00018776010635";"Millones De Milkshakes";"153556";"9555-0";"";"20091218"
"00018776011625";"Tiemblo";"129816";"9555-0";"";"20090123"
"00018776011922";"Tiemblo";"856741";"9555-0";"";"20090213"
"00018776012028";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776012127";"The Comeback";"129931";"9555-0";"";"20090213"
"00018776012226";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776012325";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776012424";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776012523";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776012622";"The Comeback";"856740";"9555-0";"";"20090213"
"00018776012721";"The Comeback";"129816";"9555-0";"";"20090213"
"00018776020726";"Tiemblo";"856742";"9555-0";"";"20090306"
"00018776021129";"Sarah";"132426";"9555-0";"";"20090515"
"00018776021228";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021327";"Vuelvo";"857238";"9555-0";"";"20090522"
"00018776021426";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021525";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021624";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021723";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021822";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776021921";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022027";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022126";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022225";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022324";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022423";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018776022522";"Vuelvo";"132426";"9555-0";"";"20090522"
"00018777205818";"Raging Violence";"70531";"4167-0";"";"19851015"
"00018777207218";"Code Of Honor";"70555";"4167-0";"";"19850901"
"00018777211413";"Speed Of Light";"70596";"4167-0";"";"19860301"
"00018777211512";"Baptism Under Fire";"392261";"4166-0";"";"19860701"
"00018777211611";"Depths Of Death";"70588";"4167-0";"";"19860601"
"00018777216210";"Hate, Fear, And Power";"70531";"4167-0";"";"19860801"
"00018777217019";"Torture Knows No Boundary";"389897";"4166-0";"";"19861201"
"00018777221511";"Trouble Within";"392261";"4166-0";"";"19870601"
"00018777222518";"Do Or Die";"70617";"4167-0";"";"19880201"
"00018777227025";"Take You Home";"202841";"19549-0";"";"19880211"
"00018777227223";"Breaking Point";"77344";"4167-0";"";"19880801"
"00018777232029";"Stream Of Consciousness";"178897";"4167-0";"";"19880601"
"00018777240918";"Prey";"70553";"4167-0";"";"19890501"
"00018777243421";"Speak Your Peace";"178897";"4167-0";"";"19900601"
"00018777330428";"Four Of A Kind";"106625";"4167-0";"";"19880601"
"00018777331029";"Escape To Nowhere";"70570";"4167-0";"";"19881001"
"00018777334525";"Voices In The Night";"202839";"19493-0";"";"19890707"
"00018964037826";"The Nine Maidens";"274025";"16816-0";"";"20110705"
"00018964040628";"Restless Rambling Heart";"274048";"16816-0";"";"20110705"
"00018964046620";"John Renbourn's Ship of Fools";"274025";"16816-0";"";"20110705"
"00018964048723";"Love Chooses You";"274048";"16816-0";"";"20110705"
"00018964052829";"Troubadour";"274076";"16816-0";"";"20110705"
"00018964056223";"Unravelin'";"274027";"16816-0";"";"20110705"
"00018964060220";"Banshee Mandolin";"274029";"16816-0";"";"20110705"
"00018964065522";"Run for Freedom / Sweet Thunder";"274076";"16816-0";"";"20110705"
"00018964065720";"Fall from Grace";"274078";"16816-0";"";"20110705"
"00018964067724";"Les Sampou";"274078";"16816-0";"";"20110705"
"00018964803926";"John McCutcheon's Four Seasons: Springsongs";"205872";"16816-0";"";"20110705"
"00018964961527";"Watermelon Patch";"273993";"16816-0";"";"20110705"
"00019011422022";"Embrace + Digital Only Singles";"26087";"278-0";"";"19960901"
"00019011451824";"Eleven";"579306";"5359-0";"";"20040527"
"00019011456928";"Drinks On Us";"36638";"2753-0";"";"19980217"
"00019011458427";"K-Rino";"145647";"11197-0";"";"19981027"
"00019011650227";"Dash Rip Rock's Gold Record";"215982";"21266-0";"";"19960601"
"00019011816326";"Trigonometry";"39008";"2447-0";"";"19980312"
"00019213105938";"Green Light";"991920";"77659-0";"";"20191206"
"00019341012924";"Tell Tale Signs";"3471";"1984-0";"";"19910101"
"00019372731467";"Parerga";"592423";"63306-0";"";"20140818"
"00019688100322";"10-STRING GUITAR SPECTACULAR";"156672";"10793-0";"";"19870101"
"00019688100520";"ROMANTIC BAROQUE";"156673";"10793-0";"";"19870101"
"00019688101527";"KRUMPHOLTZ / SCHAPOSHNIKOV / DAMASE / IBERT / GLINKA / SPOHR: Sonatas for Flute and Harp";"156674";"10793-0";"";"19890101"
"00019688101626";"RAVEL, M.: Valses nobles et Sentimentales / Jeux d'eau / Sonatine / Vocalise-etude en forme de habanera (A. Anderson)";"156675";"10793-0";"";"19890101"
"00019688101824";"PADEREWSKI, Ignace: Paderewski Plays Beethoven, Liszt, Schubert and Debussy (Piano Rolls)";"156676";"10793-0";"";"19890101"
"00019688102623";"BACH: Lute Partita in E major / VISEE: Gigue and Double de la Gigue / WEISS: Lute Sonata in D minor";"156677";"10793-0";"";"19900101"
"00019688103026";"CINCINNATI WIND SYMPHONY: Emblems";"156678";"10793-0";"";"19910101"
"00019688103224";"JONGEN: Works for Piano";"156680";"10793-0";"";"19920101"
"00019688103927";"CAMPO: Quintetto Vicento / FLAHERTY: Good Times / KOHN: San Gabriel Set / HEUSSENSTAMM: Largo";"156681";"10793-0";"";"19930101"
"00019688104122";"COUPERIN, A.: Pieces de clavecin";"156682";"10793-0";"";"19930101"
"00019688104221";"MEMORIALS";"156678";"10793-0";"";"20000101"
"00019688104320";"DRINKALL-BAKER DUO: Aphorisms";"156683";"10793-0";"";"19920101"
"00019688104429";"VIERNE: Symphony No. 1 / ELMORE: Rhythmic Suite - Pavane / SAINT-SAENS: Prelude and Fugue";"156685";"10793-0";"";"20000101"
"00019688104726";"CINCINNATI WIND SYMPHONY: Soundings";"156678";"10793-0";"";"20030101"
"00019688105020";"REINECKE: Trios in A minor / A major / B flat major";"156686";"10793-0";"";"20020101"
"00019688105129";"CINCINNATI WIND SYMPHONY: Made in America";"156678";"10793-0";"";"19930101"
"00019688105228";"SHENANDOAH - An American Chorister, 1890-1990";"156687";"10793-0";"";"19940101"
"00019688105327";"AMERICAN PROMENADE ORCHESTRA: Premiere Evening";"156689";"10793-0";"";"19940101"
"00019688105525";"MATHIAS: Zodiac Trio / RAVEL: Sonatine (arr. for flute, harp and viola) / BEETHOVEN: Serenade";"156693";"10793-0";"";"19950101"
"00019688105624";"BARTOK: Violin Sonatas";"156694";"10793-0";"";"19950101"
"00019688105723";"KALAMOS CLARINET QUARTET: Works for Clarinet Quartet";"156695";"10793-0";"";"19960101"
"00019688105822";"POSTCARDS";"156678";"10793-0";"";"20010101"
"00019688105921";"CINCINNATI WIND SYMPHONY: Paradigm";"142378";"10793-0";"";"19940101"
"00019688106027";"CINCINNATI WIND SYMPHONY: American Variations";"145203";"10793-0";"";"19950101"
"00019688106126";"SCARLATTI: Keyboard Sonatas";"156697";"10793-0";"";"19960101"
"00019688106225";"BOCCHERINI: Symphonies in D minor / A major / C minor";"156697";"10793-0";"";"19950101"
"00019688106324";"LAUBER: 4 Danses Medievales / PARADIS: Sicilienne / IBERT: Entracte";"156698";"10793-0";"";"19960101"
"00019688106423";"CINCINNATI WIND SYMPHONY: Hearts Music";"156678";"10793-0";"";"19950101"
"00019688106522";"RACHMANINOV: Vespers, Op. 37";"156701";"10793-0";"";"19950101"
"00019688106621";"CINCINNATI WIND SYMPHONY: Songs and Dances";"156678";"10793-0";"";"20040101"
"00019688106829";"SAINT-SAENS / BEETHOVEN: Cello Sonatas";"156684";"10793-0";"";"19960101"
"00019688106928";"ROMANTIC FRENCH ORGAN WORKS";"156704";"10793-0";"";"20020101"
"00019688107024";"NORTH TEXAS WIND SYMPHONY: Tributes";"142377";"10793-0";"";"20020101"
"00019688107123";"NORTH TEXAS CHAMBER PLAYERS: Bird Songs";"142378";"10793-0";"";"19950101"
"00019688107222";"GLINKA: Trio pathetique / MOZART: Piano Quintet in E flat major / BARTOK: Contrasts";"156706";"10793-0";"";"19960101"
"00019688107321";"LUTOSLAWSKI: Dance Preludes / FAITH: Sea Pieces / GENZMER: Sonatine / ALWYN: Clarinet Sonata";"156707";"10793-0";"";"19960101"
"00019688107628";"POULENC / DUNHILL / BAX / BERNSTEIN / SCHUMANN: Sonatas for Clarinet and Piano";"156707";"10793-0";"";"19990101"
"00019688107727";"NORTH TEXAS WIND SYMPHONY: Luminaries";"142377";"10793-0";"";"20010101"
"00019688107826";"CAPITOL QUARTET: American Sketches";"156722";"10793-0";"";"19970101"
"00019688107925";"NORTH TEXAS WIND SYMPHONY: Wildflowers";"142377";"10793-0";"";"19960101"
"00019688108021";"NATIONAL CHAMBER PLAYERS: Nonets and Septets";"156690";"10793-0";"";"19970101"
"00019688108328";"KRAFT: Dialogues and Entertainments / TOCH: Miniature Overture / STAMP: 4 Maryland Songs";"156723";"10793-0";"";"19970101"
"00019688108427";"NORTH TEXAS WIND SYMPHONY: Wind Dances";"142377";"10793-0";"";"20000101"
"00019688108526";"WILLIAM HALL MASTER CHORALE: Ceremony and Carols";"156701";"10793-0";"";"19970101"
"00019688108823";"INDY: Clarinet Trio in B flat Major / MUCZYNSKI: Fantasy Trio / BRAHMS: Clarinet Trio in A minor";"156707";"10793-0";"";"19980101"
"00019688108922";"GALBRAITH: Danza de los Duendes / MAYS: Dreamcatcher / BASSETT: Lullaby for Kirsten";"142378";"10793-0";"";"20000101"
"00019688109028";"MENDELSSOHN: War March of the Priests / SULLIVAN: The Lost Chord / PARRY: Jerusalem";"156729";"10793-0";"";"19990101"
"00019688109127";"NORTH TEXAS WIND SYMPHONY: Deja View";"142377";"10793-0";"";"19980101"
"00019688109226";"BRAHMS / SCHUMANN: Songs";"156701";"10793-0";"";"19990101"
"00019688109325";"FRANZETTI: Concierto Del Plata / ROMERO: Spirals / BROUWER: Concierto Elegiaco";"156730";"10793-0";"";"19980101"
"00019688109424";"SCHUBERT / LOEWE: Grand Duos for Piano 4-hands";"156734";"10793-0";"";"19980101"
"00019688109820";"NORTH TEXAS WIND SYMPHONY: Soundscapes";"142377";"10793-0";"";"20040101"
"00019688109929";"NORTH TEXAS WIND SYMPHONY: Sojourns";"142377";"10793-0";"";"20000101"
"00019688110024";"DOUBLE BASS PORTRAITS - A Musical Exhibition";"156735";"10793-0";"";"19990101"
"00019688110321";"REED: Alfred Reed Live!, Vol. 1 - Armenian Dances";"142389";"10793-0";"";"20000101"
"00019688110420";"MOZART, W.A.: Serenade No. 10, \"Gran Partita\" / Divertimento in E flat major / Divertimento in B flat major (National Chamber Players)";"156736";"10793-0";"";"20000101"
"00019688110529";"CHAMBER MUSIC PALM BEACH: Buried Treasure";"156737";"10793-0";"";"20000101"
"00019688110628";"CORIGLIANO: Kaleidoscope / COPLAND: Danza de Jalisco / RZWESKI: Winnsboro Cotton Mill Blues";"156738";"10793-0";"";"20000101"
"00019688110727";"DENVER BRASS: Bagpipes and Brass";"156739";"10793-0";"";"20000101"
"00019688110826";"REED: Alfred Reed Live!, Vol. 2 - Russian Christmas Music";"145206";"10793-0";"";"20000101"
"00019688110925";"NORTH TEXAS WIND SYMPHONY: Rendezvous";"142377";"10793-0";"";"20000101"
"00019688111021";"NORTH TEXAS WIND SYMPHONY: Convergence";"156741";"10793-0";"";"20000101"
"00019688111120";"RIMSKY-KORSAKOV / BRAHMS / REED / MCALISTER / DUBOIS / FRANCAIX: Works and Arrangements for Horn";"156742";"10793-0";"";"20000101"
"00019688111229";"TOMASI: Fanfares liturgiques / BRITTEN: Russian Funeral / STAMP: Declamation on a Hymn Tune";"156744";"10793-0";"";"20000101"
"00019688111328";"MOZART: Oboe Quartet in F major / PIERNE: Piece / MCALISTER: Vergene / WILLIAMS: 6 Studies";"156745";"10793-0";"";"20010101"
"00019688111427";"NATIONAL CHAMBER PLAYERS: Strauss, Reger, Brahms";"156690";"10793-0";"";"20010101"
"00019688111526";"O-ZONE PERCUSSION GROUP: Whiplash";"156746";"10793-0";"";"20010101"
"00019688111625";"MYSLIVECEK: Sinfonia in A major / WASSENAER: Concerto in G major / JANACEK: Suite for Strings";"156752";"10793-0";"";"20010101"
"00019688111724";"GERSHWIN: Songs (arr. for piano) / Piano Works / WILD: 7 Etudes On Themes Of Gershwin";"145208";"10793-0";"";"20010101"
"00019688111823";"ALFRED REED LIVE, Vol. 3 - Giligia";"142389";"10793-0";"";"20010101"
"00019688111922";"INDIANA UNIVERSITY OF PENNSYLVANIA WIND ENSEMBLE: Internal Combustion";"156754";"10793-0";"";"20010101"
"00019688112028";"CHAMBER MUSIC PALM BEACH: True Colors";"156737";"10793-0";"";"20020101"
"00019688112127";"DAUGHERTY: UFO / Motown Metal / Niagara Falls / Desi / Red Cape Tango";"142377";"10793-0";"";"20010101"
"00019688112226";"NORTH TEXAS WIND SYMPHONY: Time Pieces";"142377";"10793-0";"";"20000101"
"00019688112325";"KAUFMAN: String Quartet No. 3 / Clarinet Quintet / Mobile String Quartet / Catalan Concertante";"156761";"10793-0";"";"20010101"
"00019688112424";"NORTH TEXAS WIND SYMPHONY: Recollections";"142377";"10793-0";"";"20020101"
"00019688112523";"GINASTERA: Pampeana No. 2 / PONCE: Estrellita / FALLA: 7 canciones populares espanoles";"156763";"10793-0";"";"20020101"
"00019688112622";"DVORAK: Serenade, Op. 44 / Bagatelles / Czech Suite";"156690";"10793-0";"";"20020101"
"00019688112721";"NORTH TEXAS WIND SYMPHONY: Symphonic Excursions";"142377";"10793-0";"";"20020101"
"00019688112820";"NORTH TEXAS WIND SYMPHONY: Escapades";"156765";"10793-0";"";"20020101"
"00019688112929";"HAZELL: Cat Suite / Interval Music / 3 More Cats / Play for a Play / The Gospel Hall";"156739";"10793-0";"";"20020101"
"00019688113025";"REED: Alfred Reed Live!, Vol. 4 - Acclamation!";"142389";"10793-0";"";"20020101"
"00019688113124";"SOUSA: Works for Concert Band";"156690";"10793-0";"";"20020101"
"00019688113223";"CHEETHAM: Fanfare and Steeplechase / MCALISTER: Symphonies de Noel / REED: Joyeaux Noel";"156768";"10793-0";"";"20030101"
"00019688113322";"FRENCH MUSIC FOR HARP";"156674";"10793-0";"";"20020101"
"00019688113421";"COPLAND: Vitebsk / BERNSTEIN: Piano Trio / PIAZZOLLA: Las Cuatros Estaciones Portenas / COLLON: N";"156770";"10793-0";"";"20030101"
"00019688113520";"CHAMBER MUSIC PALM BEACH: Illuminations";"156737";"10793-0";"";"20030101"
"00019688113629";"ORFF: Carmina Burana (arr. for wind orchestra)";"156771";"10793-0";"";"20030101"
"00019688113728";"NORTH TEXAS WIND SYMPHONY: Hemispheres";"142377";"10793-0";"";"20020101"
"00019688113827";"DELLO JOIO: Variants on a Mediaeval Tune / From Every Horizon / City Profiles / Concertante";"156774";"10793-0";"";"20030101"
"00019688113926";"FAMOUS AMERICAN MARCHES";"156690";"10793-0";"";"20040101"
"00019688114022";"REED: Reed, Alfred, Vol. 5 - Viva Musica!";"142389";"10793-0";"";"20040101"
"00019688114121";"INDIANA UNIVERSITY OF PENNSYLVANIA WIND ENSEMBLE: Ride";"156754";"10793-0";"";"20040101"
"00019688114220";"CHAMBER MUSIC PALM BEACH: Prisms";"156737";"10793-0";"";"20040101"
"00019688114329";"LECUONA: Danzas Afro-Cubanas / GINASTERA: Danzas Argentinas / COLON: Armando's Waltz";"156763";"10793-0";"";"20040101"
"00019688114428";"NORTH TEXAS WIND SYMPHONY: Allegories";"142377";"10793-0";"";"20040101"
"00019688114527";"NORTH TEXAS WIND SYMPHONY: Retrospectives";"142377";"10793-0";"";"20040101"
"00019688114626";"UNIVERSITY OF NEVADA AT LAS VEGAS WIND ORCHESTRA: 3 Steps Forward";"156781";"10793-0";"";"20040101"
"00019688114725";"KEYSTONE WIND ENSEMBLE: H. Owen Reed";"156774";"10793-0";"";"20040101"
"00019688114824";"UNITED STATES AIR FORCE BAND: Signatures";"156786";"10793-0";"";"20050101"
"00019688114923";"UNITED STATES AIR FORCE BAND: Great American Marches";"156690";"10793-0";"";"20040101"
"00019688115029";"PHILHARMONIA A VENT WIND ORCHESTRA: Ghosts";"156787";"10793-0";"";"20050101"
"00019688115128";"EASTERN WIND SYMPHONY: Music for Shakespeare";"156768";"10793-0";"";"20050101"
"00019688115227";"ROYAL NORTHERN COLLEGE OF MUSIC WIND ORCHESTRA: Metropolis";"156789";"10793-0";"";"20050101"
"00019688115326";"NORTH TEXAS WIND SYMPHONY: Poetics";"142377";"10793-0";"";"20050101"
"00019688115425";"NORTH TEXAS WIND SYMPHONY: Passions";"142377";"10793-0";"";"20050101"
"00019688115524";"SCHUMAN: George Washington Bridge / Prelude for a Great Occasion / New England Triptych";"156774";"10793-0";"";"20050101"
"00019688115623";"HOKOYAMA: Spiritual Planet / TANOUYE: Kokopelli's Dance / NIXON: Las Vegas Holiday";"156782";"10793-0";"";"20050101"
"00019688115722";"ALFRED REED LIVE, Vol. 6 - The Final Recorded Concert";"142389";"10793-0";"";"20050101"
"00019688115821";"HANSON: Laude / Chorale and Alleluia / Dies Natalis / Centennial March / Merry Mount Suite";"156788";"10793-0";"";"20060101"
"00019688115920";"GRAINGER: Duke of Marlborough Fanfare (The) / Lincolnshire Posy / ROUSSEL: A Glorious Day";"156786";"10793-0";"";"20060101"
"00019688116026";"CHAMBER MUSIC PALM BEACH: Summer Travels";"156737";"10793-0";"";"20060101"
"00019688116125";"UNITED STATES AIR FORCE BAND: Evolution";"156786";"10793-0";"";"20060101"
"00019688116224";"KEYSTONE WIND ENSEMBLE: Alfred Reed";"156774";"10793-0";"";"20060101"
"00019688116323";"UNLV WIND ORCHESTRA: 4 Flew Over the Hornet's Nest";"156794";"10793-0";"";"20060101"
"00019688116521";"DENVER BRASS: From Age to Age";"156739";"10793-0";"";"20070101"
"00019688116620";"BENNETT, R.: Reflections on a 16th Century Tune / CARROLL, F.: Winter Dances / MCNEFF, S.: The Winged Lion / SURINACH, C.: Ritmo jondo";"156787";"10793-0";"";"20070101"
"00019688116729";"UNITED STATES AIR FORCE BAND: Russian Expressions";"156786";"10793-0";"";"20070101"
"00019688117528";"USAF HERITAGE OF AMERICA BAND: Proclamations";"156690";"10793-0";"";"20090101"
"00019688117924";"UNIVERSITY OF COLORADO WIND SYMPHONY: Tent for the Sun (A)";"160876";"10793-0";"";"20100223"
"00019688700621";"Organ Recital: Hazleton, Tom - BERLIN, I. / SIGNORELLI, F. / KERN, J. / BACH, J.S. / HUPFELD, H. / GERSHWIN, G. / SONDHEIM, S. / GORDON, I.";"156795";"10793-0";"";"20040101"
"00019688701420";"RODGERS, R.: Garrick Gaieties / TORCH, S.: On a Spring Note / SULLIVAN, A.: The Lost Chord (The Pipes of the Mighty Wurlitzer) (Hazelton)";"156795";"10793-0";"";"19950101"
"00019688702328";"TWO O'CLOCK JAZZ BAND: Two O'clock Jazz Band directed by James Riggs";"156796";"10793-0";"";"19990101"
"00019688703523";"WORLD'S GREATEST PIANO RAGS";"145208";"10793-0";"";"20040101"
"00019688703820";"WILLIAMS, J.: Film and Television Music Arranged for Brass";"156739";"10793-0";"";"20060101"
"00019688771126";"AL YANKEE JAZZTET: Bermuda Triangle";"156797";"10793-0";"";"19940101"
"00019871607829";"Drink As If No One Is Dancing";"861055";"1095-0";"";"20050313"
"00019871608420";"Ponce De Leon";"24155";"1095-0";"";"20050601"
"00019871610720";"Restine Jackson Live At Living Waters";"137238";"9982-0";"";"20090921"
"00019962148309";"Y Tenerte Otra Vez";"215910";"20048-0";"";"20150707"
"00019962148408";"Lo BusquÃ©";"697356";"66190-0";"";"20150731"
"00019962148507";"Con Orgullo Por Herencia";"215910";"20048-0";"";"20150731"
"00019962167003";"Navidad con Angela Aguilar";"634451";"66190-0";"";"20151113"
"00019962167102";"No Soy de Nadie";"215910";"20048-0";"";"20150814"
"00019962284007";"No Lo HabÃ­a Dicho";"215910";"20048-0";"";"20160527"
"00019962284106";"No lo HabÃ­a Dicho";"215910";"20048-0";"";"20160527"
"00019962309403";"No Lo HabÃ­a Dicho";"215910";"20048-0";"";"20160617"
"00019962309502";"No Lo HabÃ­a Dicho";"215910";"20048-0";"";"20160617"
"00019962347405";"The Beat Is Dead";"808172";"78354-0";"";"20161028"
"00019962392900";"Gallo Fino";"626301";"66190-0";"";"20161202"
"00019962470806";"100% Mexicano";"215910";"20048-0";"";"20170421"
"00019962470905";"Homenaje";"215910";"20048-0";"";"20170421"
"00019962471001";"Enamorado";"215910";"20048-0";"";"20170421"
"00019962494901";"Amor Supremo Desnudo";"714817";"78354-0";"";"20170609"
"00019962495007";"Amor Supremo Desnudo";"714817";"78354-0";"";"20170609"
"00019962512148";"The Grand Design";"780600";"84399-0";"";"20160517"
"00019962806711";"Te Regalo";"714817";"78354-0";"";"20170606"
"00019962806810";"Hbls Mucho";"807387";"78354-0";"";"20170623"
"00019962806919";"Milk and Honey";"865470";"78354-0";"";"20170630"
"00019962807015";"Lento";"882147";"78354-0";"";"20170714"
"00019962807114";"Paleta Sonora";"865470";"78354-0";"";"20170728"
"00019962969928";"Felix Mendelssohn: Works for Piano Trio";"551548";"58072-0";"";"20160319"
"00019985757212";"Roots Radics";"878773";"91413-0";"";"20180323"
"00020060000017";"Los Mejores Sonidos de Mexico";"625419";"68124-0";"";"20050201"
"00020060000024";"Tu Barca";"625419";"68124-0";"";"20050201"
"00020060000031";"Los Remixes";"625419";"68124-0";"";"20050201"
"00020060000048";"Lo Nuevo y Lo Mejor";"625419";"68124-0";"";"20050201"
"00020120100008";"Joy Proclaimed";"160635";"12709-0";"";"20100201"
"00020286107026";"Chronchitis";"70645";"4721-0";"";"20070807"
"00020286108023";"The Expendables";"70648";"4721-0";"";"20070904"
"00020286108924";"Ziggurats";"88787";"3338-0";"";"20071002"
"00020286111221";"Submersible";"374910";"30219-0";"";"20120918"
"00020286121824";"Pink Crustaceans and  Good Vibrations";"56518";"3876-0";"";"20080722"
"00020286123224";"Slightly Not Stoned Enough to Eat Breakfast Yet Stoopid";"70645";"4721-0";"";"20080722"
"00020286130222";"Seperatista!";"88789";"3338-0";"";"20090120"
"00020286134220";"These Times Old Times";"373305";"39473-0";"";"20101214"
"00020286136224";"Bright Side Of Life";"103843";"7348-0";"";"20090804"
"00020286137528";"Everyone On Everynight";"374910";"30219-0";"";"20090915"
"00020286137634";"Wilderness";"187690";"17592-0";"";"20091011"
"00020286137825";"Mistico";"716210";"78551-0";"";"20160513"
"00020286152606";"Prove It";"70648";"4721-0";"";"20100511"
"00020286152828";"Time Bomb";"163063";"13235-0";"";"20100316"
"00020286154945";"Stitches";"56518";"3801-0";"";"20101012"
"00020286156208";"MMVI";"351306";"37277-0";"";"20110607"
"00020286156215";"The Drought (Ov Salt & Sorrow)";"352780";"37277-0";"";"20110607"
"00020286156437";"Big Boss Twang";"352505";"37277-0";"";"20110705"
"00020286156666";"The Sum of All Fossils";"351304";"37277-0";"";"20110802"
"00020286160083";"Annihilator";"352779";"37277-0";"";"20110913"
"00020286167372";"Peace of Mind  (Deluxe Edition)";"332755";"35981-0";"";"20120110"
"00020286167389";"Peace of Mind";"332755";"35981-0";"";"20120110"
"00020286210825";"Oh, Believe - All Believe";"437094";"37277-0";"";"20121023"
"00020286212096";"Tales of a Gypsy";"716210";"78551-0";"";"20151011"
"00020286212577";"Intersubjectivity";"351304";"37277-0";"";"20121113"
"00020286212911";"Ouroboros Collapstin";"469237";"37277-0";"";"20130305"
"00020286213727";"Invocation: Our Dying Days";"431297";"37277-0";"";"20130709"
"00020286213826";"Five";"497182";"37277-0";"";"20130806"
"00020286213949";"Dead Ends";"489447";"37277-0";"";"20130709"
"00020286216063";"II: The Mechanism of Night";"594648";"37277-0";"";"20140620"
"00020286216346";"Turns 13";"580175";"37277-0";"";"20140527"
"00020286217268";"Midnight Rhumba";"716210";"78551-0";"";"20151021"
"00020286224488";"Azul";"716210";"78551-0";"";"20170929"
"00021041350602";"Falling Again";"834020";"88215-0";"";"20110531"
"00021075128222";"Gangster 4 Life";"151951";"11725-0";"";"20010123"
"00021075130829";"Nino Brown";"200634";"11725-0";"";"20050215"
